C_svc,C_lgs,alpha_nb,ngram,trained,indexing
0.01,0.41,0.6100000000000001,3,N,532
0.01,0.41,0.6100000000000001,4,N,533
0.01,0.41,0.6100000000000001,5,N,534
0.01,0.41,0.7100000000000001,1,N,535
0.01,0.41,0.7100000000000001,2,N,536
0.01,0.41,0.7100000000000001,3,N,537
0.01,0.41,0.7100000000000001,4,N,538
0.01,0.41,0.7100000000000001,5,N,539
0.01,0.41,0.81,1,N,540
0.01,0.41,0.81,2,N,541
0.01,0.41,0.81,3,N,542
0.01,0.41,0.81,4,N,543
0.01,0.41,0.81,5,N,544
0.01,0.41,0.91,1,N,545
0.01,0.41,0.91,2,N,546
0.01,0.41,0.91,3,N,547
0.01,0.41,0.91,4,N,548
0.01,0.41,0.91,5,N,549
0.01,0.41,1.01,1,N,550
0.01,0.41,1.01,2,N,551
0.01,0.41,1.01,3,N,552
0.01,0.41,1.01,4,N,553
0.01,0.41,1.01,5,N,554
0.01,0.41,1.11,1,N,555
0.01,0.41,1.11,2,N,556
0.01,0.41,1.11,3,N,557
0.01,0.41,1.11,4,N,558
0.01,0.41,1.11,5,N,559
0.01,0.41,1.3,1,N,560
0.01,0.41,1.3,2,N,561
0.01,0.41,1.3,3,N,562
0.01,0.41,1.3,4,N,563
0.01,0.41,1.3,5,N,564
0.01,0.41,1.6,1,N,565
0.01,0.41,1.6,2,N,566
0.01,0.41,1.6,3,N,567
0.01,0.41,1.6,4,N,568
0.01,0.41,1.6,5,N,569
0.01,0.41,1.9,1,N,570
0.01,0.41,1.9,2,N,571
0.01,0.41,1.9,3,N,572
0.01,0.41,1.9,4,N,573
0.01,0.41,1.9,5,N,574
0.01,0.41,2.2,1,N,575
0.01,0.41,2.2,2,N,576
0.01,0.41,2.2,3,N,577
0.01,0.41,2.2,4,N,578
0.01,0.41,2.2,5,N,579
0.01,0.41,2.5,1,N,580
0.01,0.41,2.5,2,N,581
0.01,0.41,2.5,3,N,582
0.01,0.41,2.5,4,N,583
0.01,0.41,2.5,5,N,584
0.01,0.41,2.8000000000000003,1,N,585
0.01,0.41,2.8000000000000003,2,N,586
0.01,0.41,2.8000000000000003,3,N,587
0.01,0.41,2.8000000000000003,4,N,588
0.01,0.41,2.8000000000000003,5,N,589
0.01,0.41,3.1000000000000005,1,N,590
